Name,Description,Person,Priority Level
Community Building,Building a community for the company to increase individual promoters,,
Loyalty Program,Creating loyalty programs for existing customers,,
Social Media Marketing,Providing users valuable and shareable content to increase visibility and brand awareness and website traffic and social branding.,,
Content & Inbound Marketing,"Education over selling to influence buying behaviour. Creating & Distributing information relavant to prospect's needs, to pull them to website",,
Search Engine Optimization,Navigating users through our website to lead purchasing,,
Re-targetting,Targeting the existing users of our company and others,,
Influencer Marketing,Industry influencers involvement,,
Partner Program,Developing partner program to onboard partners,,
Industry Events,"Participating In-person or online trade shows, exhibitions and other B2B events",,
Cold-calls & Meetings,Making cold-calls and generate leads,,
Referral/Affiliate Programs,"Implementing specific affiliate programs, customer referral programs and partner programs etc to leverage recommendation",,
SEM/PPC,Grow website traffic through PPC,,
Conversational Marketing,Real-time interaction with In-person or chatbot or live-chat with customers,,
Direct Selling,Meeting people face-to-face and demonstrate the product and generate sales,,
